"genes"	"modules"
"257"	"ID1"	"M2"
"258"	"TTN"	"M1"
"259"	"KCNMA1"	"M2"
"260"	"LMAN1L"	"M1"
"261"	"SLC22A23"	"M1"
"262"	"NCS1"	"M2"
"263"	"CYP1B1"	"M1"
"264"	"MUC3A"	"M1"
"265"	"TGFBI"	"M4"
"266"	"SCD"	"M1"
"267"	"NEXN"	"M2"
"268"	"PTN"	"M5"
"269"	"GOLM1"	"M1"
"270"	"BASP1"	"M1"
"271"	"DBI"	"M1"
"272"	"ZNF827"	"M1"
"273"	"HOXB13"	"M1"
"274"	"SDC1"	"M3"
"275"	"ENTPD5"	"M3"
"276"	"MON1B"	"M1"
"277"	"C11orf96"	"M4"
"278"	"EPHB6"	"M4"
"279"	"FILIP1L"	"M2"
"280"	"TNXB"	"M1"
"281"	"MT1X"	"M1"
"282"	"HOMER2"	"M1"
"283"	"XAF1"	"M2"
"284"	"PTP4A3"	"M1"
"285"	"WNK2"	"M1"
"286"	"SCNN1A"	"M3"
"287"	"SPOCK1"	"M1"
"288"	"TOB1"	"M4"
"289"	"CFH"	"M1"
"290"	"PFKP"	"M2"
"291"	"SPINT1"	"M3"
"292"	"C1QTNF1"	"M1"
"293"	"BCL3"	"M4"
"294"	"ANPEP"	"M1"
"295"	"IGF1"	"M5"
"296"	"FAAH"	"M1"
"297"	"STXBP2"	"M3"
"298"	"CYP3A5"	"M3"
"299"	"AQP3"	"M3"
"300"	"SPRY1"	"M4"
"301"	"DLL1"	"M1"
"302"	"NFIL3"	"M4"
"303"	"X.263"	"M5"
"304"	"PLEKHO1"	"M2"
"305"	"PROM2"	"M3"
"306"	"NANS"	"M1"
"307"	"SEC11C"	"M1"
"308"	"ABCC3"	"M3"
"309"	"SERINC5"	"M1"
"310"	"WFDC1"	"M2"
"311"	"FLT1"	"M4"
"312"	"FBLN2"	"M5"
"313"	"SYT7"	"M1"
"314"	"SFRP1"	"M5"
"315"	"TES"	"M2"
"316"	"RASL12"	"M2"
"317"	"PLAT"	"M1"
"318"	"NIPAL3"	"M1"
"319"	"MRPL41"	"M1"
"320"	"CEBPB"	"M4"
"321"	"SLC12A2"	"M1"
"322"	"IRF6"	"M3"
"323"	"FOXA1"	"M1"
"324"	"ELAPOR1"	"M1"
"325"	"MAOB"	"M2"
"326"	"ARID5A"	"M4"
"327"	"ATP2A3"	"M3"
"328"	"ZNF761"	"M1"
"329"	"PLCH2"	"M3"
"330"	"MASP1"	"M2"
"331"	"MRGPRF"	"M2"
"332"	"SOCS3"	"M4"
"333"	"RPL9"	"M2"
"334"	"RBM47"	"M1"
"335"	"SRGN"	"M4"
"336"	"EHF"	"M3"
"337"	"IRS2"	"M1"
"338"	"RAMP1"	"M2"
"339"	"HBB"	"M1"
"340"	"ISLR"	"M5"
"341"	"PAGR1"	"M4"
"342"	"AGR2"	"M3"
"343"	"ITGA8"	"M2"
"344"	"CSPG4"	"M2"
"345"	"NCAPD3"	"M1"
"346"	"RARRES1"	"M4"
"347"	"SAMD4A"	"M1"
"348"	"CCDC69"	"M2"
"349"	"FOXF1"	"M1"
"350"	"CD24"	"M1"
"351"	"SLC22A3"	"M1"
"352"	"WFDC2"	"M3"
"353"	"TARBP1"	"M1"
"354"	"GADD45B"	"M4"
"355"	"RUNX1"	"M4"
"356"	"FAM135A"	"M1"
"357"	"PTGIS"	"M2"
"358"	"JPH2"	"M2"
"359"	"DMD"	"M2"
"360"	"ARHGEF37"	"M1"
"361"	"ATP1A2"	"M2"
"362"	"ABCA8"	"M1"
"363"	"TC2N"	"M3"
"364"	"CDYL2"	"M1"
"365"	"CLIP3"	"M2"
"366"	"LSAMP"	"M1"
"367"	"DEPP1"	"M1"
"368"	"PSD4"	"M1"
"369"	"CSGALNACT1"	"M1"
"370"	"RDH10"	"M4"
"371"	"EPHX2"	"M1"
"372"	"NACC2"	"M2"
"373"	"EDNRB"	"M1"
"374"	"PRRT2"	"M5"
"375"	"RCAN3"	"M1"
"376"	"CRYBG1"	"M3"
"377"	"BAIAP2L1"	"M3"
"378"	"SLC39A14"	"M4"
"379"	"NR1D1"	"M1"
"380"	"LAMA2"	"M1"
"381"	"PLEKHH1"	"M1"
"382"	"KCNMB1"	"M2"
"383"	"SH3BP4"	"M1"
"384"	"CFB"	"M4"
"385"	"KIF5C"	"M1"
"386"	"SLC30A4"	"M1"
"387"	"TNS4"	"M3"
"388"	"SERINC2"	"M3"
"389"	"CREB3L4"	"M1"
"390"	"GALNT7"	"M1"
"391"	"ARFGEF3"	"M1"
"392"	"OGN"	"M5"
"393"	"PDE9A"	"M1"
"394"	"TMEM141"	"M1"
"395"	"GLB1L2"	"M1"
"396"	"HIF3A"	"M1"
"397"	"SLC14A1"	"M3"
"398"	"CLDN4"	"M3"
"399"	"S1PR3"	"M1"
"400"	"GLMP"	"M1"
"401"	"SCUBE2"	"M3"
"402"	"EPHA3"	"M5"
"403"	"CRACR2B"	"M3"
"404"	"LLGL2"	"M3"
"405"	"PKP1"	"M1"
"406"	"GPT2"	"M1"
"407"	"SLIT3"	"M3"
"408"	"ADAMTS9"	"M4"
"409"	"ABCC4"	"M1"
"410"	"TRPV6"	"M1"
"411"	"PPP1R13L"	"M3"
"412"	"CFAP69"	"M1"
"413"	"LGI4"	"M1"
"414"	"ENPP2"	"M1"
"415"	"ALDH1A2"	"M5"
"416"	"H2AC6"	"M1"
"417"	"NCAM1"	"M3"
"418"	"GPNMB"	"M1"
"419"	"MICAL2"	"M2"
"420"	"TRAF4"	"M3"
"421"	"SCN7A"	"M5"
"422"	"SFRP2"	"M5"
"423"	"CTPS1"	"M2"
"424"	"C4B"	"M1"
"425"	"CDK19"	"M1"
"426"	"FHOD3"	"M2"
"427"	"TFCP2L1"	"M3"
"428"	"MUC4"	"M3"
"429"	"ZC3H12A"	"M1"
"430"	"PAK1IP1"	"M1"
"431"	"CD93"	"M4"
"432"	"X.31"	"M4"
"433"	"P3H2"	"M1"
"434"	"FOLH1"	"M1"
"435"	"CPM"	"M1"
"436"	"SLC2A3"	"M1"
"437"	"STK39"	"M1"
"438"	"ENO2"	"M1"
"439"	"CORO6"	"M3"
"440"	"AFF3"	"M1"
"441"	"TMEM79"	"M1"
"442"	"TENM1"	"M1"
"443"	"DPT"	"M5"
"444"	"ALS2CL"	"M3"
"445"	"IL33"	"M4"
"446"	"NNMT"	"M4"
"447"	"RNF144B"	"M3"
"448"	"C4A"	"M1"
"449"	"RGS11"	"M5"
"450"	"VGLL3"	"M1"
"451"	"LRRC75B"	"M1"
"452"	"CSDC2"	"M2"
"453"	"GSTM1"	"M4"
"454"	"TYMP"	"M4"
"455"	"CPNE4"	"M1"
"456"	"SLC8A1"	"M2"
"457"	"VIPR1"	"M1"
"458"	"GUCY1A1"	"M1"
"459"	"IRF1"	"M4"
"460"	"MYC"	"M4"
"461"	"ENC1"	"M3"
"462"	"ADH1B"	"M1"
"463"	"PER3"	"M5"
"464"	"NRP2"	"M2"
"465"	"LRATD1"	"M1"
"466"	"ATF3"	"M4"
"467"	"ST14"	"M3"
"468"	"GRHL2"	"M3"
"469"	"LAMB3"	"M3"
"470"	"GMPR"	"M1"
"471"	"MAFF"	"M4"
"472"	"PPP1R1B"	"M3"
"473"	"KLF2"	"M3"
"474"	"MUC1"	"M1"
"475"	"ASS1"	"M1"
"476"	"SIK1"	"M3"
"477"	"BICDL2"	"M3"
"478"	"LDB3"	"M2"
"479"	"CCDC3"	"M3"
"480"	"KLF5"	"M3"
"481"	"PTGS2"	"M1"
"482"	"S100A4"	"M1"
"483"	"ALOX15B"	"M1"
"484"	"NREP"	"M5"
"485"	"FLRT2"	"M5"
"486"	"TMC4"	"M3"
"487"	"STEAP1"	"M1"
"488"	"SACS"	"M1"
"489"	"SMOC1"	"M5"
"490"	"SFN"	"M3"
"491"	"MAN1A1"	"M1"
"492"	"FGF7"	"M4"
"493"	"SLC15A2"	"M1"
"494"	"FADS3"	"M1"
"495"	"INMT"	"M2"
"496"	"SRD5A2"	"M1"
"497"	"PNMA1"	"M2"
"498"	"COL8A1"	"M1"
"499"	"PKDCC"	"M3"
"500"	"LDLR"	"M4"
"501"	"CCDC88C"	"M3"
"502"	"SMOC2"	"M2"
"503"	"NT5DC3"	"M2"
"504"	"TNFAIP3"	"M4"
"505"	"CEACAM1"	"M3"
"506"	"IGF2"	"M1"
"507"	"SPON1"	"M1"
"508"	"DUOX1"	"M3"
"509"	"OSR2"	"M5"
"510"	"PLEKHA4"	"M4"
"511"	"DPP4"	"M1"
"512"	"TPSAB1"	"M5"
"513"	"AHNAK2"	"M2"
"514"	"ACSF2"	"M3"
"515"	"HSPB7"	"M2"
"516"	"ENTREP1"	"M1"
"517"	"PAMR1"	"M1"
"518"	"CXCL12"	"M5"
"519"	"KRT13"	"M3"
"520"	"ACADL"	"M1"
"521"	"PRDM8"	"M4"
"522"	"CCL14"	"M1"
"523"	"NGFR"	"M5"
"524"	"THBS2"	"M4"
"525"	"MT1E"	"M1"
"526"	"NAAA"	"M1"
"527"	"GBP1"	"M4"
"528"	"TGM4"	"M1"
"529"	"ADAMTSL4"	"M1"
"530"	"GEM"	"M4"
"531"	"KRT7"	"M3"
"532"	"GADD45G"	"M1"
"533"	"ATOH8"	"M1"
"534"	"LMCD1"	"M1"
"535"	"LAPTM5"	"M6"
"536"	"TPSB2"	"M5"
"537"	"CES1"	"M2"
"538"	"FAM153A"	"M1"
"539"	"ABHD11"	"M1"
"540"	"X.46"	"M1"
"541"	"SPTBN2"	"M1"
"542"	"FZD7"	"M2"
"543"	"C1orf116"	"M1"
"544"	"PHLDA1"	"M4"
"545"	"TCF21"	"M5"
"546"	"SOX9"	"M3"
"547"	"ZNF185"	"M2"
"548"	"CCL2"	"M4"
"549"	"RASA4B"	"M5"
"550"	"CYGB"	"M5"
"551"	"COBL"	"M1"
"552"	"H1.2"	"M1"
"553"	"ID4"	"M1"
"554"	"ACKR1"	"M4"
"555"	"C12orf75"	"M2"
"556"	"KIF22"	"M1"
"557"	"HEYL"	"M3"
"558"	"PDE4B"	"M1"
"559"	"SLC6A6"	"M1"
"560"	"CEMIP2"	"M4"
"561"	"RCAN1"	"M4"
"562"	"DDX11"	"M2"
"563"	"RASA4"	"M5"
"564"	"ATP8A1"	"M1"
"565"	"DIO2"	"M1"
"566"	"HLF"	"M2"
"567"	"CLDN5"	"M1"
"568"	"SLC4A4"	"M3"
"569"	"PAPLN"	"M5"
"570"	"PRIMA1"	"M1"
"571"	"TP63"	"M3"
"572"	"GP2"	"M1"
"573"	"NECTIN1"	"M3"
"574"	"LDOC1"	"M2"
"575"	"RCAN2"	"M3"
"576"	"ATP6V0E2"	"M1"
"577"	"COL4A3"	"M2"
"578"	"FAM83F"	"M3"
"579"	"PASK"	"M1"
"580"	"PPP1R14A"	"M2"
"581"	"SPOCK3"	"M5"
"582"	"MYOCD"	"M2"
"583"	"HLA.DRB5"	"M4"
"584"	"CAVIN2"	"M2"
"585"	"NR4A2"	"M2"
"586"	"CP"	"M4"
"587"	"RASSF7"	"M3"
"588"	"CD163"	"M6"
"589"	"CCL15.CCL14"	"M1"
"590"	"DTNA"	"M2"
"591"	"HBA2"	"M1"
"592"	"CXADR"	"M3"
"593"	"RAB27B"	"M1"
"594"	"PLN"	"M2"
"595"	"MSMO1"	"M1"
"596"	"BAIAP3"	"M3"
"597"	"ALDH1L1"	"M3"
"598"	"RNASE1"	"M1"
"599"	"FAM174B"	"M1"
"600"	"NCOA7"	"M4"
"601"	"GDF15"	"M3"
"602"	"MOXD1"	"M2"
"603"	"PIM1"	"M4"
"604"	"CPED1"	"M2"
"605"	"ALDH1B1"	"M2"
"606"	"RNF43"	"M3"
"607"	"HMCN2"	"M1"
"608"	"PLIN2"	"M1"
"609"	"ESRP2"	"M3"
"610"	"WWC1"	"M1"
"611"	"TSPAN8"	"M1"
"612"	"TRPM8"	"M1"
"613"	"ADAMTS4"	"M4"
"614"	"SFMBT2"	"M1"
"615"	"TGFB2"	"M2"
"616"	"SERPINE1"	"M4"
"617"	"CDH3"	"M3"
"618"	"UNC5B"	"M3"
"619"	"TSPAN18"	"M2"
"620"	"BCAS1"	"M1"
"621"	"SLC2A1"	"M1"
"622"	"MUC12"	"M1"
"623"	"VCAN"	"M4"
"624"	"KCNH2"	"M2"
"625"	"MAP7"	"M1"
"626"	"ANXA3"	"M1"
"627"	"RASEF"	"M1"
"628"	"ABAT"	"M1"
"629"	"PSCA"	"M3"
"630"	"FAM43A"	"M1"
"631"	"CREM"	"M4"
"632"	"GCNT2"	"M1"
"633"	"TM7SF2"	"M1"
"634"	"BIRC3"	"M4"
"635"	"MYH14"	"M3"
"636"	"SLC26A2"	"M1"
"637"	"HTRA3"	"M5"
"638"	"SEC14L2"	"M1"
"639"	"ASTN2"	"M1"
"640"	"EPS8L1"	"M3"
"641"	"DACT3"	"M2"
"642"	"COL4A4"	"M3"
"643"	"TEF"	"M5"
"644"	"RPS28"	"M2"
"645"	"TNFRSF19"	"M1"
"646"	"LXN"	"M4"
"647"	"H2BC5"	"M3"
"648"	"CNTN1"	"M5"
"649"	"PTPN3"	"M3"
"650"	"TFPI"	"M1"
"651"	"ODF3B"	"M2"
"652"	"PCDH10"	"M2"
"653"	"ICA1"	"M1"
"654"	"ADAM22"	"M5"
"655"	"EPHA7"	"M5"
"656"	"ADAM19"	"M2"
"657"	"PNCK"	"M2"
"658"	"THY1"	"M1"
"659"	"RASD1"	"M1"
"660"	"SLC16A3"	"M4"
"661"	"GSTM5"	"M5"
"662"	"SLC2A12"	"M1"
"663"	"FXYD1"	"M3"
"664"	"DNAJB4"	"M1"
"665"	"STAP2"	"M3"
"666"	"COCH"	"M1"
"667"	"DEF6"	"M3"
