symbol1,symbol2,Unnamed: 0,dbs,evidence type,methods,ntissues,pmids,uniprot1,uniprot2,go1,go2
PSMD14,GHITM,11646,,exp,coexpression,11,,xxxxxx,xxxxxx,"GO:0022624, GO:0061578, GO:1904813, GO:0031597, GO:0000502, GO:0008541, GO:0006303, GO:0070628, GO:0000724, GO:0043161, GO:0005634, GO:0004843, GO:0005654, GO:0006511, GO:0008237, GO:0046872, GO:0016579, GO:0070536, GO:0006281, GO:0061136, GO:0043687, GO:0061133, GO:0006974, GO:0045471, GO:0034774, GO:0010950, GO:0036459, GO:0005829, GO:0043312, GO:0005576, GO:0005515","GO:0070062, GO:0016021, GO:0006915, GO:0005739, GO:0005743, GO:0008150, GO:0005515, GO:0003674"
VCP,ATP5F1B,11666,,exp,coexpression,10,,xxxxxx,xxxxxx,"GO:0032510, GO:0044389, GO:0005811, GO:0006457, GO:0005783, GO:0090263, GO:0019985, GO:0034774, GO:0016236, GO:0036503, GO:0006734, GO:0005789, GO:0034214, GO:1903862, GO:0035578, GO:1903006, GO:0016887, GO:0031593, GO:0032436, GO:1904288, GO:2001171, GO:0042981, GO:0005737, GO:1903007, GO:0006888, GO:0006302, GO:0045732, GO:0043209, GO:0043161, GO:0005634, GO:0006281, GO:0051260, GO:0030970, GO:0055085, GO:0005654, GO:1903715, GO:0042802, GO:0097352, GO:0048471, GO:0016579, GO:0018279, GO:0005524, GO:1990381, GO:1904813, GO:0051228, GO:0042288, GO:0006919, GO:0019079, GO:0046034, GO:0006914, GO:0036435, GO:0031334, GO:0008289, GO:0036513, GO:0006974, GO:0019903, GO:0061857, GO:0019904, GO:0043531, GO:0030433, GO:0034098, GO:0000502, GO:1990730, GO:0010918, GO:0070062, GO:0045184, GO:2000158, GO:0031625, GO:0032991, GO:0043231, GO:0030968, GO:0035861, GO:0005829, GO:0070842, GO:0010498, GO:0043312, GO:0070987, GO:0016567, GO:0005576, GO:0071712, GO:0003723, GO:0005515, GO:1904949, GO:0035800, GO:0072389","GO:1902600, GO:0016887, GO:0042407, GO:0051453, GO:0006091, GO:0001525, GO:0007005, GO:0042645, GO:0070062, GO:0046933, GO:0043209, GO:0005634, GO:0016020, GO:0005739, GO:0099132, GO:0005753, GO:0001649, GO:0005759, GO:0005524, GO:0005754, GO:0006933, GO:0006629, GO:0042288, GO:0005215, GO:0009986, GO:0031966, GO:0043536, GO:0043532, GO:0046961, GO:0005886, GO:0042776, GO:0045259, GO:0022857, GO:0005515, GO:0006754"
PSMD14,PSMB2,11681,,exp,coexpression,17,,xxxxxx,xxxxxx,"GO:0022624, GO:0061578, GO:1904813, GO:0031597, GO:0000502, GO:0008541, GO:0006303, GO:0070628, GO:0000724, GO:0043161, GO:0005634, GO:0004843, GO:0005654, GO:0006511, GO:0008237, GO:0046872, GO:0016579, GO:0070536, GO:0006281, GO:0061136, GO:0043687, GO:0061133, GO:0006974, GO:0045471, GO:0034774, GO:0010950, GO:0036459, GO:0005829, GO:0043312, GO:0005576, GO:0005515","GO:0005737, GO:0016032, GO:0004175, GO:0005839, GO:0051603, GO:0043687, GO:0005634, GO:0016020, GO:0010498, GO:0010499, GO:0019774, GO:0004298, GO:0005654, GO:0010243, GO:0005515, GO:0043161, GO:0000502, GO:0016579, GO:0005829, GO:0014070, GO:0070062"
POLI,TSC1,11682,,exp,coexpression,11,,xxxxxx,xxxxxx,"GO:0016607, GO:0005654, GO:0042276, GO:0006281, GO:0019985, GO:0005622, GO:0003887, GO:0006974, GO:0006260, GO:0036464, GO:0005515, GO:0046872, GO:0003684","GO:0033596, GO:0005811, GO:0090650, GO:0030030, GO:0032794, GO:0030426, GO:0051492, GO:0007160, GO:0042030, GO:0046323, GO:0016239, GO:0050808, GO:0032868, GO:0021987, GO:0051894, GO:0005737, GO:0042552, GO:0030544, GO:0051496, GO:0005634, GO:0016020, GO:0001822, GO:0030027, GO:1903204, GO:0001843, GO:0051879, GO:0016242, GO:0006407, GO:0008285, GO:0101031, GO:0048471, GO:0006813, GO:0045859, GO:0051291, GO:0034260, GO:0046627, GO:0032007, GO:0010977, GO:0005938, GO:0005886, GO:1901214, GO:0008344, GO:0032780, GO:0021766, GO:0055007, GO:0045792, GO:0032991, GO:0043666, GO:0047485, GO:0051726, GO:0005829, GO:0090630, GO:0001952, GO:0043379, GO:0002250, GO:0005515, GO:0017148, GO:0006417, GO:0051087, GO:0050821, GO:0032956, GO:0005884"
TSR1,COPS3,11700,,exp,coexpression,10,,xxxxxx,xxxxxx,"GO:0030688, GO:0005730, GO:0005829, GO:0003924, GO:0005654, GO:0000462, GO:0003723, GO:0034511, GO:0000479, GO:0005525","GO:0005737, GO:0006974, GO:0001701, GO:0006283, GO:0006281, GO:0000338, GO:0005634, GO:0000715, GO:0005654, GO:0006511, GO:0009416, GO:0007165, GO:0005515, GO:0043687, GO:0005829, GO:0008180"
HDAC10,DMAP1,11747,,exp,coexpression,11,,xxxxxx,xxxxxx,"GO:0005737, GO:0005654, GO:0032041, GO:0000122, GO:0006325, GO:0004407, GO:0005634, GO:0016575, GO:0019899, GO:0006476, GO:0000118, GO:0006355, GO:0045892, GO:0006351, GO:0005515, GO:0014003, GO:0033558, GO:0042826, GO:0070932","GO:0035267, GO:0005737, GO:0006306, GO:0000122, GO:0005634, GO:0003714, GO:0005654, GO:0005657, GO:0043967, GO:0000981, GO:0006281, GO:0043968, GO:0006974, GO:0045471, GO:0045892, GO:0001103, GO:0042307, GO:0006338, GO:0005829, GO:0006351, GO:0005515, GO:0040008"
ZNF133,NEIL1,11752,,exp,coexpression,11,,xxxxxx,xxxxxx,"GO:0043565, GO:0003700, GO:0005634, GO:0006357, GO:0006351, GO:0005515, GO:0003677, GO:0046872, GO:0000981","GO:0005737, GO:0005654, GO:0006284, GO:0016798, GO:0006281, GO:0140078, GO:0005634, GO:0045008, GO:0008022, GO:0032074, GO:0005815, GO:0003906, GO:0006974, GO:0008270, GO:0006979, GO:0006289, GO:0005694, GO:0003684, GO:0019104"
ATG4B,COPS7B,11754,,exp,coexpression,10,,xxxxxx,xxxxxx,"GO:0005737, GO:0004175, GO:0000422, GO:0005829, GO:0006612, GO:0016236, GO:0000045, GO:0006501, GO:0045732, GO:0044804, GO:0004197, GO:0008234, GO:0005515, GO:0006508, GO:0006914, GO:0051697","GO:0006974, GO:0006283, GO:0006281, GO:0000338, GO:0005829, GO:0000715, GO:0005654, GO:0005515, GO:0043687, GO:0008180"
ATXN3,TTLL3,11803,,exp,coexpression,11,,xxxxxx,xxxxxx,"GO:1904294, GO:0034605, GO:0005886, GO:0030036, GO:0061578, GO:1904379, GO:0000226, GO:0042405, GO:0005737, GO:0005730, GO:0005789, GO:0043161, GO:0005634, GO:0036459, GO:0005654, GO:0071218, GO:0005759, GO:0016363, GO:0016579, GO:0070536, GO:0071108, GO:0006281, GO:0010810, GO:0051117, GO:0006289, GO:0006974, GO:0035520, GO:0007268, GO:0031966, GO:0004843, GO:0031625, GO:0007399, GO:0045104, GO:0005829, GO:0006355, GO:0006511, GO:0006351, GO:0005515, GO:0006515, GO:1990380","GO:0070736, GO:0070735, GO:0015630, GO:0018094, GO:0060271, GO:0035082, GO:0005829, GO:0005929, GO:0005874, GO:0005930, GO:0005524"
POGZ,INTS3,11813,,exp,coexpression,16,,xxxxxx,xxxxxx,"GO:0005737, GO:0051382, GO:0005634, GO:0035097, GO:0010468, GO:0005654, GO:0000790, GO:0006357, GO:0031060, GO:0051301, GO:0005515, GO:0003677, GO:0007064, GO:0046872, GO:0005829, GO:0000981, GO:0016569","GO:0005737, GO:0006974, GO:0010212, GO:0006281, GO:0005634, GO:0005730, GO:0032039, GO:0005654, GO:0005515, GO:0016180, GO:0042795, GO:0070876, GO:0007093"
DMAP1,OGFOD2,11838,,exp,coexpression,10,,xxxxxx,xxxxxx,"GO:0035267, GO:0005737, GO:0006306, GO:0000122, GO:0005634, GO:0003714, GO:0005654, GO:0005657, GO:0043967, GO:0000981, GO:0006281, GO:0043968, GO:0006974, GO:0045471, GO:0045892, GO:0001103, GO:0042307, GO:0006338, GO:0005829, GO:0006351, GO:0005515, GO:0040008","GO:0031418, GO:0005506, GO:0016705, GO:0055114, GO:0051213"
PHB,RUVBL2,11841,,exp,coexpression,11,,xxxxxx,xxxxxx,"GO:0050847, GO:0008022, GO:0071354, GO:0030308, GO:0031871, GO:0019899, GO:0050821, GO:0010628, GO:0007165, GO:0010942, GO:0042981, GO:0001649, GO:0005737, GO:0016575, GO:0070062, GO:0000122, GO:0043209, GO:0005634, GO:0016020, GO:0005739, GO:0005654, GO:0045745, GO:0007005, GO:0010944, GO:0000981, GO:0008285, GO:0006851, GO:0009986, GO:0045892, GO:0045893, GO:0005887, GO:0005886, GO:2000323, GO:0060766, GO:0044212, GO:0070374, GO:0045917, GO:0042826, GO:0005743, GO:0006355, GO:0042177, GO:0005515, GO:0001850, GO:0001851, GO:0070373, GO:0005769, GO:0071897","GO:0003714, GO:0006457, GO:0035066, GO:0017025, GO:0031011, GO:0031490, GO:0035267, GO:0016887, GO:0034644, GO:0003678, GO:0000812, GO:0001094, GO:0005719, GO:0070062, GO:0005813, GO:0005634, GO:0016020, GO:0051082, GO:0005654, GO:0071392, GO:0042802, GO:0043967, GO:0071169, GO:0043141, GO:0016363, GO:0071339, GO:0005524, GO:0000980, GO:0090090, GO:0016573, GO:0006281, GO:0043968, GO:0004003, GO:0032508, GO:0008013, GO:1903507, GO:0006974, GO:0042803, GO:0043531, GO:0006310, GO:0000492, GO:0006338, GO:1904874, GO:0005829, GO:0071733, GO:1990904, GO:0097255, GO:0005622, GO:0071899, GO:0051117, GO:0006357, GO:0045944, GO:0006351, GO:0005515, GO:0000979, GO:0040008"
TSNAXIP1,CEP164,11864,,exp,coexpression,10,,xxxxxx,xxxxxx,"GO:0030154, GO:0005575, GO:0007283, GO:0008150, GO:0003674, GO:0048471, GO:0007275","GO:0005737, GO:0005794, GO:0005615, GO:0060271, GO:0006281, GO:0000086, GO:0005813, GO:0005829, GO:0097711, GO:0005814, GO:0005654, GO:0006974, GO:0005515, GO:0097539, GO:0010389, GO:0051301, GO:0043231"
EZH1,ATXN3,11886,,exp,coexpression,14,,xxxxxx,xxxxxx,"GO:0018024, GO:0003682, GO:0035098, GO:0021766, GO:0005654, GO:0070734, GO:0045944, GO:0006351, GO:0009653, GO:0000981","GO:1904294, GO:0034605, GO:0005886, GO:0030036, GO:0061578, GO:1904379, GO:0000226, GO:0042405, GO:0005737, GO:0005730, GO:0005789, GO:0043161, GO:0005634, GO:0036459, GO:0005654, GO:0071218, GO:0005759, GO:0016363, GO:0016579, GO:0070536, GO:0071108, GO:0006281, GO:0010810, GO:0051117, GO:0006289, GO:0006974, GO:0035520, GO:0007268, GO:0031966, GO:0004843, GO:0031625, GO:0007399, GO:0045104, GO:0005829, GO:0006355, GO:0006511, GO:0006351, GO:0005515, GO:0006515, GO:1990380"
C2CD5,DMAP1,11908,,exp,coexpression,11,,xxxxxx,xxxxxx,"GO:0072659, GO:0032587, GO:0065002, GO:0005829, GO:0006906, GO:0005544, GO:2001275, GO:0005815, GO:0030659, GO:0005938, GO:0090314, GO:0005886, GO:0032869, GO:0031340, GO:0038028, GO:0010828, GO:0005509","GO:0035267, GO:0005737, GO:0006306, GO:0000122, GO:0005634, GO:0003714, GO:0005654, GO:0005657, GO:0043967, GO:0000981, GO:0006281, GO:0043968, GO:0006974, GO:0045471, GO:0045892, GO:0001103, GO:0042307, GO:0006338, GO:0005829, GO:0006351, GO:0005515, GO:0040008"
ABRAXAS1,MRPS18C,11914,,exp,coexpression,13,,xxxxxx,xxxxxx,"GO:0072425, GO:0006974, GO:0016604, GO:0006303, GO:0006302, GO:0006281, GO:0006325, GO:0005634, GO:0005654, GO:0005515, GO:0031593, GO:0070531, GO:0010212, GO:0045739, GO:0016579","GO:0070126, GO:0070125, GO:0022627, GO:0003735, GO:0005743, GO:0005763, GO:0006412"
MRPL47,MARF1,11929,,exp,coexpression,10,,xxxxxx,xxxxxx,"GO:0070126, GO:0070125, GO:0005739, GO:0003735, GO:0005743, GO:0008150, GO:0005762, GO:0003674, GO:0032543","GO:0005794, GO:0016020, GO:0006302, GO:0006281, GO:0010923, GO:0005777, GO:0010468, GO:0006974, GO:0003674, GO:0003723, GO:0048477, GO:0007143, GO:0043231"
RUVBL1,SNRPD1,11933,,exp,coexpression,12,,xxxxxx,xxxxxx,"GO:0034080, GO:0090263, GO:0017025, GO:0031011, GO:1904837, GO:0097255, GO:0035267, GO:0016887, GO:0003678, GO:0007049, GO:0001094, GO:0070062, GO:0005634, GO:0016020, GO:0003713, GO:0005815, GO:0005654, GO:0004003, GO:0043967, GO:0016573, GO:0043141, GO:0016363, GO:0016579, GO:0071339, GO:0005524, GO:1903508, GO:0006281, GO:0043968, GO:0051117, GO:0032508, GO:1904874, GO:0007283, GO:0043531, GO:0006310, GO:0006974, GO:0000492, GO:0006338, GO:0051301, GO:0005829, GO:1990904, GO:0045296, GO:0000812, GO:0006357, GO:0006351, GO:0005515, GO:0040008","GO:0000243, GO:0000245, GO:0071007, GO:0034709, GO:0000387, GO:0070062, GO:0005634, GO:0005654, GO:0008380, GO:0046540, GO:0005515, GO:1990446, GO:0071013, GO:0034715, GO:0051170, GO:0034719, GO:0030532, GO:0005829, GO:0000398, GO:0097526, GO:0003723, GO:0005689, GO:0005687, GO:0005686, GO:0005685, GO:0005682, GO:0005681"
MARS2,SPRTN,11988,,exp,coexpression,10,,xxxxxx,xxxxxx,"GO:0004825, GO:0006431, GO:0005739, GO:0006418, GO:0005759, GO:0005524","GO:0016607, GO:0006974, GO:0031398, GO:0006281, GO:0005634, GO:0031593, GO:0019985, GO:0070987, GO:0005654, GO:0009411, GO:0005515, GO:0003677, GO:0070530, GO:0046872, GO:0005694, GO:0043130"
PSMC3,NABP2,12003,,exp,coexpression,11,,xxxxxx,xxxxxx,"GO:0001824, GO:0036402, GO:0022624, GO:0017025, GO:0030433, GO:1904813, GO:0031595, GO:0031597, GO:0016887, GO:0008540, GO:0005634, GO:0016020, GO:0005654, GO:1901800, GO:0016579, GO:0042802, GO:0005515, GO:0043687, GO:0043921, GO:0034774, GO:0000502, GO:0045899, GO:0005829, GO:0000932, GO:0043312, GO:0005576, GO:0045944, GO:0005524, GO:0016032","GO:0006974, GO:0070182, GO:0070200, GO:0010212, GO:0005829, GO:0000724, GO:1904355, GO:0005634, GO:0006281, GO:0061730, GO:0051972, GO:0005654, GO:0000784, GO:0005515, GO:0042795, GO:0098505, GO:0003697, GO:0070876, GO:0007093"
UBA52,EIF3G,12017,,exp,coexpression,11,,xxxxxx,xxxxxx,"GO:0000187, GO:0006294, GO:0006297, GO:0000184, GO:0005783, GO:0019985, GO:0019068, GO:0006614, GO:0005789, GO:0061024, GO:0006296, GO:0042769, GO:0043065, GO:0070987, GO:0061418, GO:0000209, GO:0010008, GO:0005737, GO:0003735, GO:0007254, GO:0030666, GO:0005615, GO:0070498, GO:0000122, GO:0005634, GO:0006281, GO:0033683, GO:0055085, GO:0005654, GO:0070628, GO:0019058, GO:0043488, GO:0035666, GO:0016579, GO:0042276, GO:0006283, GO:0044267, GO:0006625, GO:0016567, GO:0043066, GO:0006464, GO:0070423, GO:0006974, GO:0051092, GO:0015935, GO:0031145, GO:0019221, GO:0005886, GO:0019941, GO:0051403, GO:0022627, GO:0030512, GO:0007179, GO:0031982, GO:0016197, GO:0002755, GO:0075733, GO:0031625, GO:0005840, GO:0043657, GO:0070062, GO:0005829, GO:0016055, GO:0007249, GO:0036297, GO:0000715, GO:0005765, GO:0005741, GO:0045944, GO:0005515, GO:0031386, GO:0006413, GO:0070911","GO:0005737, GO:0005852, GO:0005829, GO:0003723, GO:0005515, GO:0075525, GO:0048471, GO:0006413, GO:0005634, GO:0003743"
AIFM1,PARP1,12030,,exp,coexpression,11,,xxxxxx,xxxxxx,"GO:1902065, GO:0016174, GO:0030261, GO:0043525, GO:0003677, GO:0071949, GO:0005634, GO:0005739, GO:0043065, GO:0005758, GO:0048471, GO:0006915, GO:0006919, GO:0071392, GO:0070301, GO:0051402, GO:1902510, GO:0002931, GO:0055114, GO:1904045, GO:0090650, GO:0070059, GO:0005829, GO:0005743, GO:0016651, GO:0005515, GO:0046983, GO:0071732","GO:0006294, GO:0006296, GO:0006293, GO:0032042, GO:0006471, GO:0051287, GO:0034644, GO:0019899, GO:0060391, GO:1903827, GO:0023019, GO:0042769, GO:0000784, GO:0070911, GO:0003677, GO:0032869, GO:0003950, GO:0043504, GO:0034599, GO:0007005, GO:0000723, GO:0000122, GO:0071294, GO:0006302, GO:0005730, GO:0018312, GO:0005634, GO:0005635, GO:0033683, GO:0005739, GO:0005654, GO:0030225, GO:0070412, GO:2000679, GO:0006366, GO:1904646, GO:0051901, GO:1903518, GO:0042826, GO:0010332, GO:0042802, GO:0003723, GO:0050790, GO:0005515, GO:0030331, GO:0006281, GO:0008134, GO:0006915, GO:0033148, GO:0006974, GO:0070212, GO:1904357, GO:0036211, GO:0010990, GO:1990404, GO:1901216, GO:1904044, GO:0016020, GO:2001170, GO:0007179, GO:0010613, GO:1900182, GO:0032991, GO:0047485, GO:0032993, GO:0016540, GO:1990966, GO:0000724, GO:0001228, GO:0000715, GO:0045944, GO:0000977, GO:0005667, GO:1904762, GO:0044030, GO:1903376, GO:0019901, GO:0008270"
TOMM7,RPS27A,12066,,exp,coexpression,10,,xxxxxx,xxxxxx,"GO:0098779, GO:0006626, GO:0031647, GO:0005739, GO:0008320, GO:0005742, GO:1903955, GO:0005741, GO:0005515","GO:0000187, GO:0006294, GO:0006297, GO:0000184, GO:0015935, GO:0019985, GO:0019068, GO:0019058, GO:0006614, GO:0005789, GO:0061024, GO:0006296, GO:0042769, GO:0043065, GO:0070987, GO:0061418, GO:0000209, GO:0010008, GO:0005737, GO:0003735, GO:0007254, GO:0030666, GO:0005615, GO:0070498, GO:0000122, GO:0043209, GO:0005634, GO:0016020, GO:0033683, GO:0055085, GO:0005654, GO:0070628, GO:0016055, GO:0043488, GO:0035666, GO:0046872, GO:0016579, GO:0042276, GO:0006283, GO:0044267, GO:0006625, GO:0019941, GO:0043066, GO:0031145, GO:0070423, GO:0006974, GO:0051092, GO:0019221, GO:0005886, GO:0051403, GO:0006281, GO:0022627, GO:0030512, GO:0007179, GO:0031982, GO:0016197, GO:0002755, GO:0075733, GO:0031625, GO:0043657, GO:0070062, GO:0005829, GO:0005730, GO:0007249, GO:0036297, GO:0000715, GO:0016567, GO:0005741, GO:0045944, GO:0003723, GO:0005515, GO:0031386, GO:0006413, GO:0006412, GO:0070911"
FEN1,NDC1,12069,,exp,coexpression,10,,xxxxxx,xxxxxx,"GO:0000287, GO:0017108, GO:0007613, GO:0090305, GO:0005739, GO:0003677, GO:0009650, GO:0008409, GO:0060041, GO:0006302, GO:0000724, GO:0004527, GO:0016020, GO:0004523, GO:0005654, GO:0006260, GO:0003690, GO:0046872, GO:0006309, GO:0045876, GO:0006281, GO:0030145, GO:0006974, GO:0048256, GO:0008309, GO:0045145, GO:0090502, GO:0032991, GO:0051908, GO:0004519, GO:0005730, GO:0032201, GO:0003684, GO:0043137, GO:0005515, GO:0005634, GO:0000784","GO:0005737, GO:0016020, GO:0015629, GO:0031081, GO:0005643, GO:0016021, GO:0005635, GO:0031965, GO:0007129, GO:0051292, GO:0007283, GO:0017056, GO:0016032, GO:0005886, GO:0015031, GO:0006999, GO:0006406, GO:0070762"
RPS25,RPS27A,12099,,exp,coexpression,19,,xxxxxx,xxxxxx,"GO:0000184, GO:0005840, GO:0005730, GO:0070062, GO:0005634, GO:0006614, GO:0006412, GO:0005654, GO:0022627, GO:0003723, GO:0005515, GO:0006413, GO:0005829, GO:0015935","GO:0000187, GO:0006294, GO:0006297, GO:0000184, GO:0015935, GO:0019985, GO:0019068, GO:0019058, GO:0006614, GO:0005789, GO:0061024, GO:0006296, GO:0042769, GO:0043065, GO:0070987, GO:0061418, GO:0000209, GO:0010008, GO:0005737, GO:0003735, GO:0007254, GO:0030666, GO:0005615, GO:0070498, GO:0000122, GO:0043209, GO:0005634, GO:0016020, GO:0033683, GO:0055085, GO:0005654, GO:0070628, GO:0016055, GO:0043488, GO:0035666, GO:0046872, GO:0016579, GO:0042276, GO:0006283, GO:0044267, GO:0006625, GO:0019941, GO:0043066, GO:0031145, GO:0070423, GO:0006974, GO:0051092, GO:0019221, GO:0005886, GO:0051403, GO:0006281, GO:0022627, GO:0030512, GO:0007179, GO:0031982, GO:0016197, GO:0002755, GO:0075733, GO:0031625, GO:0043657, GO:0070062, GO:0005829, GO:0005730, GO:0007249, GO:0036297, GO:0000715, GO:0016567, GO:0005741, GO:0045944, GO:0003723, GO:0005515, GO:0031386, GO:0006413, GO:0006412, GO:0070911"
PSMD14,WBP1,12105,,exp,coexpression,10,,xxxxxx,xxxxxx,"GO:0022624, GO:0061578, GO:1904813, GO:0031597, GO:0000502, GO:0008541, GO:0006303, GO:0070628, GO:0000724, GO:0043161, GO:0005634, GO:0004843, GO:0005654, GO:0006511, GO:0008237, GO:0046872, GO:0016579, GO:0070536, GO:0006281, GO:0061136, GO:0043687, GO:0061133, GO:0006974, GO:0045471, GO:0034774, GO:0010950, GO:0036459, GO:0005829, GO:0043312, GO:0005576, GO:0005515","GO:0005575, GO:0008150, GO:0005515, GO:0050699"
OSGEP,NEIL1,12114,,exp,coexpression,11,,xxxxxx,xxxxxx,"GO:0005737, GO:0016607, GO:0061711, GO:0000408, GO:0005654, GO:0005515, GO:0005886, GO:0046872, GO:0002949, GO:0005634","GO:0005737, GO:0005654, GO:0006284, GO:0016798, GO:0006281, GO:0140078, GO:0005634, GO:0045008, GO:0008022, GO:0032074, GO:0005815, GO:0003906, GO:0006974, GO:0008270, GO:0006979, GO:0006289, GO:0005694, GO:0003684, GO:0019104"
SFPQ,PNN,12128,,exp,coexpression,10,,xxxxxx,xxxxxx,"GO:0090575, GO:0000785, GO:0003676, GO:0003677, GO:0070888, GO:0000980, GO:0070932, GO:0005737, GO:0000380, GO:0000724, GO:0006355, GO:0005634, GO:0005654, GO:0048511, GO:0045944, GO:0016363, GO:0042826, GO:0008380, GO:0000981, GO:0003723, GO:0016607, GO:0045876, GO:0042382, GO:0006281, GO:0045087, GO:0006974, GO:0042803, GO:0042752, GO:0042754, GO:0044212, GO:1902177, GO:0000122, GO:0000398, GO:0002218, GO:0000976, GO:0006351, GO:0005515, GO:0045892, GO:0003682, GO:0006397","GO:0016607, GO:0035145, GO:0016020, GO:0005911, GO:0071013, GO:0005886, GO:0000398, GO:0005198, GO:0006355, GO:0005882, GO:0003723, GO:0005515, GO:0003677, GO:0007155, GO:0030057, GO:0006351"
POLG2,TIAL1,12173,,exp,coexpression,11,,xxxxxx,xxxxxx,"GO:0070584, GO:0032042, GO:0001701, GO:0004820, GO:0071897, GO:0006281, GO:0022904, GO:0000262, GO:0005737, GO:0003887, GO:0006974, GO:0042802, GO:0006260, GO:0006261, GO:0005515, GO:0003677, GO:0005759, GO:0042645, GO:0006426, GO:0007005","GO:0005737, GO:0005764, GO:0007281, GO:0008284, GO:0005634, GO:0006915, GO:0006952, GO:0017091, GO:0005654, GO:0006357, GO:0003723, GO:0003677, GO:0017145, GO:0008543, GO:0010494"
PRPF19,STOML2,12198,,exp,coexpression,10,,xxxxxx,xxxxxx,"GO:0005811, GO:0000244, GO:0000245, GO:0048711, GO:0071006, GO:0071007, GO:0000349, GO:0048026, GO:0000209, GO:0006283, GO:0005737, GO:0045665, GO:0005819, GO:0006303, GO:0072422, GO:0004842, GO:0005634, GO:0016020, GO:0005654, GO:0070534, GO:0042802, GO:0016607, GO:0034450, GO:0000974, GO:0006281, GO:0071013, GO:0034613, GO:0006974, GO:0061630, GO:0008610, GO:0035861, GO:0001833, GO:0010498, GO:0000398, GO:0005662, GO:0005515","GO:0019897, GO:0032623, GO:0015629, GO:0051020, GO:0007005, GO:0008180, GO:0005856, GO:0005743, GO:0005758, GO:0050852, GO:0006851, GO:0006874, GO:0042101, GO:1990046, GO:0001772, GO:0042776, GO:0010876, GO:0010918, GO:0051259, GO:0090297, GO:0045121, GO:0034982, GO:1900210, GO:0005515, GO:1901612, GO:0005102, GO:0035710"
RAD52,TOP3B,12224,,exp,coexpression,13,,xxxxxx,xxxxxx,"GO:0006310, GO:0006974, GO:0006312, GO:0032991, GO:0006302, GO:0032993, GO:0000724, GO:0051260, GO:0005634, GO:0045002, GO:0000730, GO:0005654, GO:0010792, GO:0005515, GO:0003677, GO:2000819, GO:0034599, GO:0006281, GO:0003697, GO:0042802","GO:0006265, GO:0005634, GO:0000793, GO:0003917, GO:0003916, GO:0003723, GO:0005515, GO:0003677, GO:0007059"
NEIL1,CEP95,12231,,exp,coexpression,13,,xxxxxx,xxxxxx,"GO:0005737, GO:0005654, GO:0006284, GO:0016798, GO:0006281, GO:0140078, GO:0005634, GO:0045008, GO:0008022, GO:0032074, GO:0005815, GO:0003906, GO:0006974, GO:0008270, GO:0006979, GO:0006289, GO:0005694, GO:0003684, GO:0019104","GO:0005737, GO:0005813, GO:0005515, GO:0000922"
CCT5,RUVBL2,12236,,exp,coexpression,10,,xxxxxx,xxxxxx,"GO:0006457, GO:1904851, GO:0050821, GO:0048487, GO:1904871, GO:0048027, GO:0005874, GO:1901998, GO:0070062, GO:0005730, GO:0043209, GO:0005813, GO:0032212, GO:0005832, GO:0003730, GO:0005524, GO:0031681, GO:0044297, GO:0007339, GO:1904874, GO:0005829, GO:0002199, GO:0005515, GO:0009615","GO:0003714, GO:0006457, GO:0035066, GO:0017025, GO:0031011, GO:0031490, GO:0035267, GO:0016887, GO:0034644, GO:0003678, GO:0000812, GO:0001094, GO:0005719, GO:0070062, GO:0005813, GO:0005634, GO:0016020, GO:0051082, GO:0005654, GO:0071392, GO:0042802, GO:0043967, GO:0071169, GO:0043141, GO:0016363, GO:0071339, GO:0005524, GO:0000980, GO:0090090, GO:0016573, GO:0006281, GO:0043968, GO:0004003, GO:0032508, GO:0008013, GO:1903507, GO:0006974, GO:0042803, GO:0043531, GO:0006310, GO:0000492, GO:0006338, GO:1904874, GO:0005829, GO:0071733, GO:1990904, GO:0097255, GO:0005622, GO:0071899, GO:0051117, GO:0006357, GO:0045944, GO:0006351, GO:0005515, GO:0000979, GO:0040008"
GTF2IRD2B,EME2,12243,,exp,coexpression,10,,xxxxxx,xxxxxx,"GO:0005634, GO:0006357, GO:0006351","GO:0006302, GO:0006281, GO:0000712, GO:0006974, GO:0090305, GO:0000790, GO:0005515, GO:0003677, GO:0008821, GO:0031297, GO:0048476, GO:0031573"
UBA52,LRRC75A,12251,,exp,coexpression,10,,xxxxxx,xxxxxx,"GO:0000187, GO:0006294, GO:0006297, GO:0000184, GO:0005783, GO:0019985, GO:0019068, GO:0006614, GO:0005789, GO:0061024, GO:0006296, GO:0042769, GO:0043065, GO:0070987, GO:0061418, GO:0000209, GO:0010008, GO:0005737, GO:0003735, GO:0007254, GO:0030666, GO:0005615, GO:0070498, GO:0000122, GO:0005634, GO:0006281, GO:0033683, GO:0055085, GO:0005654, GO:0070628, GO:0019058, GO:0043488, GO:0035666, GO:0016579, GO:0042276, GO:0006283, GO:0044267, GO:0006625, GO:0016567, GO:0043066, GO:0006464, GO:0070423, GO:0006974, GO:0051092, GO:0015935, GO:0031145, GO:0019221, GO:0005886, GO:0019941, GO:0051403, GO:0022627, GO:0030512, GO:0007179, GO:0031982, GO:0016197, GO:0002755, GO:0075733, GO:0031625, GO:0005840, GO:0043657, GO:0070062, GO:0005829, GO:0016055, GO:0007249, GO:0036297, GO:0000715, GO:0005765, GO:0005741, GO:0045944, GO:0005515, GO:0031386, GO:0006413, GO:0070911",
